region,latitude,longitude,elevation,slope,aspect,soil_type,soil_moisture,vegetation_cover,precipitation,previous_cloudburst,temperature_celsius,humidity,wind_speed_kph,deforestation,urbanization,mining_activity,land_use,proximity_to_river,proximity_to_fault_line,landslide_occurred
Odisha,22.04154131,83.99825465,4490.683322,51.22722909,157.3585763,Clay,0,46.48267361,326.2438608,0,27.91809711,57.81033579,86.82144853,0,29.84098761,0,Forest,3.487521704,0.506333686,1
Tamil Nadu,11.63226989,79.5067143,2887.906753,3.66780968,156.4546475,Loam,69.19269377,44.65575058,431.2079862,0,28.0933588,32.50483971,95.08252702,0,73.76737831,0,Barren,0,10.76126261,0
Jammu & Kashmir,33.51397219,77.14079728,3099.198101,3.570873976,29.83129898,Sand,31.589369,21.11283372,264.9101395,0,17.50229474,43.20530905,60.68361046,0,23.30018824,0,Agriculture,2.437726184,12.38179414,1
Kerala,9.356064833,75.26293247,5192.533418,18.16940568,108.6645247,Loam,45.45684541,70.36477631,314.6806414,0,20.8834252,58.77107852,59.04785795,0,80.47192016,0,Urban,8.344587968,19.22669363,0
Karnataka,15.20070655,77.58847908,2478.802286,7.103889476,295.9957858,Loam,45.59129334,97.27239216,569.2490213,0,20.10568252,79.34794383,55.87989327,1,83.34550345,0,Urban,2.930844771,20.92729215,0
Maharashtra,18.32264576,73.27565133,5674.923704,61.82000218,89.87199759,Sand,17.20538616,94.72871202,111.2205985,0,26.52501826,45.49256341,66.94742749,0,79.37257043,0,Agriculture,6.445765115,3.156219639,0
Karnataka,13.46436852,74.48342671,3023.262643,17.93648212,15.58267089,Clay,0,64.42430912,429.0390071,1,20.55559108,87.44865246,60.92059419,1,77.47036471,0,Barren,9.358322843,8.759019854,0
Meghalaya,26.20720537,89.8688225,1746.310673,53.42503362,272.2585104,Sand,66.84638203,31.41828744,240.4727149,0,25.52413572,30.59936777,81.62213037,0,63.64435855,0,Urban,3.744363242,10.56608744,0
Kerala,10.37149639,76.17717763,1764.347262,13.71265587,41.52648664,Silt,72.34695524,11.75257089,540.6861836,0,20.09029424,85.33558232,86.94023191,0,92.28785035,0,Agriculture,7.91722078,5.948983798,0
Himachal Pradesh,31.23299342,77.11919863,2630.198988,60.39876135,185.8063829,Silt,69.98134465,98.17152555,586.3342707,0,19.68824141,30.00118035,58.72593285,0,55.67465043,1,Barren,3.896739337,15.18798787,0
Himachal Pradesh,31.2499401,78.46291778,2287.479228,0,351.2004313,Loam,94.93099568,87.62211433,174.858251,0,19.1549506,62.23363215,65.68527323,0,24.63998701,0,Agriculture,6.572233561,6.976568671,0
Sikkim,27.23358448,88.83487725,4241.674718,56.71380242,60.29158566,Loam,0,15.77114392,290.4985572,1,33.82565141,85.72152348,18.64723293,1,37.99295432,0,Barren,6.523935854,8.256260276,0
Uttarakhand,29.19360139,79.26238497,4150.523679,28.87362995,170.0117067,Sand,25.57058321,27.82268272,528.348273,0,22.44923055,37.62369729,74.49284281,1,67.19995396,1,Agriculture,9.571408717,13.21842741,0
Karnataka,12.28603214,75.3414252,5034.38297,60.68389236,134.3928748,Sand,97.09265312,2.030615197,314.5112369,0,29.68268266,41.23218757,29.32338383,0,14.27309858,1,Barren,8.559450499,8.418212352,0
Meghalaya,25.87638549,91.96054436,2514.060492,65.01378919,227.5121583,Clay,6.039233722,59.10153019,80.98940357,0,18.30930467,39.85388227,31.44920887,0,79.74619203,1,Urban,0.938158274,3.953377992,0
Karnataka,14.84133465,75.07800834,1543.221021,0,201.0755403,Loam,33.38730358,50.99265302,386.177756,0,34.4967416,21.93526874,28.58666465,0,93.31869639,0,Barren,1.672721334,20.04496182,0
Sikkim,27.78559999,88.97751291,1398.50979,12.68006994,34.937668,Clay,0,55.48800483,93.58876267,0,28.95472119,94.43268703,56.89406096,1,85.14664817,0,Urban,9.838113322,14.83372247,0
Jammu & Kashmir,32.07052409,74.11091136,2512.493036,40.31023946,1.613916919,Clay,60.1932806,81.38277947,78.10385099,0,29.50998486,54.88451907,12.94108263,0,28.10242876,0,Agriculture,6.269614198,0,1
Uttarakhand,29.39246551,80.41939986,4667.653828,49.29403171,168.6939546,Loam,92.40496092,57.56995447,110.1836809,0,19.32370089,70.21167233,89.61017627,0,61.14576972,0,Agriculture,5.731911548,18.7791635,0
Uttarakhand,30.7884876,80.15995471,3450.842615,33.53673769,278.5665472,Sand,29.85558879,67.13615927,531.5313157,0,21.46238073,93.74895931,40.86694959,0,39.62636149,0,Agriculture,1.119591771,4.010295711,0
Odisha,19.92145199,86.64709589,2423.253853,68.81851202,157.0828669,Silt,117.8202839,39.67908401,167.379596,0,29.52627113,27.89282363,79.35976321,0,7.152958762,0,Forest,6.362998395,3.343709807,0
Odisha,20.23573629,84.49579699,2190.322896,70.07067251,281.2496321,Sand,75.26810463,19.13753585,560.5246986,0,30.3877769,72.00659062,53.84757021,0,58.16596796,1,Urban,7.242581661,15.31103276,0
Arunachal Pradesh,26.76344748,93.64662185,4546.677215,65.31445752,81.22583911,Clay,64.01853156,25.12535003,222.402182,0,28.81814082,33.26980163,21.41204475,0,10.25683139,0,Agriculture,10.78465845,14.78626346,0
Karnataka,13.46768112,75.9599226,309.3784957,52.56238581,217.5133249,Clay,94.21719679,69.48796223,375.3508777,0,10.45663065,85.08503634,22.85773959,0,30.84832131,1,Forest,6.295778803,13.96373042,0
Meghalaya,25.8563152,90.97958082,962.4979551,42.91478068,170.3028938,Loam,49.94572828,20.28449491,324.0991282,1,14.59654773,53.992871,44.56177971,0,98.91955928,0,Agriculture,7.582318329,5.31276258,0
Karnataka,13.38357687,76.15993225,2633.932186,30.70684667,318.4164473,Sand,3.45761232,59.79266354,579.2718857,0,34.13133354,35.43552673,27.31465299,1,27.03852019,0,Agriculture,8.28784075,12.88252162,0
Arunachal Pradesh,28.63319551,93.38326828,5118.285163,32.92530954,140.7225078,Loam,84.0614815,0.1840635,477.7932282,0,20.44403327,98.96331899,51.26282068,0,91.22346352,0,Forest,4.134407675,8.640493937,0
Odisha,19.7982458,85.49876815,6036.371531,32.74719057,124.4352447,Silt,61.27380402,40.69578049,193.6195711,0,14.12077378,77.79239138,21.67334787,1,77.07751773,0,Forest,2.153007213,16.32470895,0
Tamil Nadu,12.51914663,78.85930328,2459.128698,12.87651589,48.19135974,Loam,78.87189029,68.63138674,133.6857923,0,10.20860701,57.22589555,69.52016089,0,51.46880696,0,Agriculture,0.625702167,2.662634445,0
Arunachal Pradesh,26.85529419,96.21933386,5367.45208,41.82557596,65.43556956,Silt,70.14773815,32.07681809,56.05280401,0,24.54036709,53.70785654,54.76726017,0,85.1486914,0,Barren,8.677252449,2.095825188,0
Tamil Nadu,12.89213799,79.66898908,166.3170478,31.40290703,202.0906827,Silt,26.43868854,32.45478475,444.3354921,0,15.85543311,84.27645317,84.52853373,0,66.49369051,0,Barren,6.171077885,16.69745344,0
Meghalaya,26.39192036,89.7489591,6202.709274,21.12281007,130.6009099,Loam,81.41457833,50.80384424,75.53222463,0,27.9599704,22.50437117,92.80236004,0,75.74256549,0,Forest,4.915573574,22.64560025,0
Odisha,21.36072813,84.65942858,1605.5212,62.86026547,134.3012806,Clay,55.96737798,22.60337041,128.0050629,0,18.6110908,82.73719974,2.206653844,1,30.09931911,0,Urban,9.574823837,10.18327898,0
Arunachal Pradesh,27.80001886,92.85326924,3957.396884,57.97526506,322.6367318,Sand,56.22989678,73.64072239,254.1941437,1,18.97885816,75.54101152,93.47748614,0,98.92414285,0,Urban,0,4.630162073,0
Sikkim,27.635528,88.30486477,3224.674704,22.80870166,355.4924245,Loam,62.04935763,29.7637169,15.04299291,0,29.92057898,68.20330649,99.09594963,1,1.813465108,0,Forest,8.033977071,9.047352729,0
Karnataka,12.73717421,74.88880763,2530.715874,39.14566667,40.19891858,Sand,107.7734346,93.49263069,497.1346324,0,26.5637969,76.17345071,7.144249876,0,17.70010582,0,Agriculture,7.705073644,7.391051393,0
Uttarakhand,29.59745315,79.4752966,3317.173574,30.41846495,275.3893885,Loam,45.59492025,33.8187854,504.3290563,0,17.81588385,51.99244667,1.643948182,0,99.67394799,1,Urban,4.17368523,8.464559542,0
Meghalaya,25.7632699,91.7016117,369.4756463,66.92824582,172.6749096,Sand,0,33.77892128,146.4792435,0,23.66092405,94.03641304,81.321624,0,84.38151456,0,Forest,4.473220924,0.403326423,0
Sikkim,27.73274617,88.92122937,2088.174257,48.50977566,53.40655073,Sand,12.14269697,72.84564501,313.4507351,1,22.83718424,26.33295646,54.5836451,0,24.35634537,1,Agriculture,7.73232141,19.41160116,0
Tamil Nadu,10.23892345,79.94781247,4529.611378,53.13805422,220.984168,Loam,47.86220549,76.17668397,292.0239242,0,34.25686188,72.66730167,50.5581979,1,51.72916156,0,Urban,9.524151853,5.479458762,0
Maharashtra,15.94421306,73.43637723,5226.833576,62.05185825,261.9829976,Silt,17.5395737,84.85707154,466.827705,0,29.00311333,29.65259111,8.235932411,0,47.43029676,0,Forest,3.407922292,14.27663611,0
Maharashtra,17.79031523,73.75750117,5386.704679,26.18008096,33.20328605,Silt,32.49752376,59.2209908,535.209097,0,13.78583381,86.43984045,31.57970128,1,13.94453027,0,Urban,7.438527309,10.18405713,0
Karnataka,13.83272064,76.02652688,3476.776363,53.17464599,77.6125756,Clay,83.54032265,60.58486248,525.9277166,0,10.00839223,54.29640182,48.17511848,1,64.04912999,0,Urban,6.430950435,10.11328854,0
Sikkim,27.81794761,88.38316085,3721.988892,8.461990485,140.9037369,Loam,16.9142837,87.85638222,169.5487569,0,31.21844007,62.32138052,25.2431354,1,79.3666931,1,Barren,0.373097221,6.204475078,0
Uttarakhand,29.56080034,78.68476212,753.9561578,31.99881368,267.9238949,Sand,78.28130621,45.89751739,592.1090472,0,25.26182256,84.10046308,82.79067088,0,67.55014738,0,Barren,9.932168416,13.33072306,0
Jammu & Kashmir,32.7211108,76.37089399,1382.605062,21.25836978,234.4544022,Sand,45.28285421,41.86739435,174.3436097,0,23.00965884,92.05058096,78.85489526,0,64.3498143,0,Forest,1.961289099,1.824359106,0
Tamil Nadu,12.53750077,78.27416319,2878.891842,25.96023364,29.75713443,Silt,37.80609826,77.66330547,312.0327287,1,17.93888872,86.6576803,30.20449125,0,93.79400082,0,Forest,1.865251799,3.667673532,0
Karnataka,12.13512079,75.82881205,4734.799264,53.85446803,46.44595251,Clay,94.34249193,50.36938775,457.3662902,0,27.56768517,70.28500644,8.745701153,1,70.94523053,0,Forest,10.45643573,9.789795338,0
Uttarakhand,30.94216265,78.58657027,4971.333893,14.84204836,1.505960297,Sand,68.02758932,3.032025336,412.2021564,0,10.62001222,27.62901204,27.24525979,1,16.04137671,0,Barren,2.386170387,3.020463423,0
Meghalaya,25.00837934,91.93557352,116.8697788,68.89561063,12.75701729,Sand,57.08788633,50.10155694,291.5977097,0,24.40760415,91.03625514,50.75995648,1,95.69023589,0,Barren,6.628174447,15.14216344,0
Tamil Nadu,10.033919,78.93531853,5736.118704,33.49017862,39.67375588,Sand,39.33168348,63.38270953,414.7048142,0,22.91878743,92.56696388,32.65832042,0,80.80043056,1,Agriculture,1.619679754,0,0
Sikkim,27.5202679,88.78542221,3310.568873,8.752598643,270.9952903,Sand,35.2639551,92.38153363,170.4436366,0,20.9556791,69.49852841,94.07601713,0,50.7557852,0,Barren,3.104651275,6.163833488,0
Odisha,20.62275989,82.58278123,863.4022204,27.96984788,343.5139841,Clay,32.42621488,47.48010793,435.8449291,0,22.99651163,23.6431443,8.596728955,0,56.57819421,0,Forest,4.891642006,0,0
Meghalaya,25.74792252,89.70073597,5732.849405,36.92843082,92.08545387,Silt,81.1689637,28.90033564,395.8712426,0,34.97019416,96.35799753,31.98895764,0,32.21841165,0,Urban,5.763923933,11.0447133,0
